A,A
sat,
PpCO2,Mol_Frac
9.09E+05,0.605
5.09E+05,0.571
3.76E+05,0.589
1.09E+05,0.481
6.90E+04,0.477
3.90E+04,0.422
1.90E+04,0.381
1.43E+03,0.188
1.36E+02,0.0566
7.24E+00,0.0117
1.98E+07,0.941
1.48E+07,0.914
9.87E+06,0.856
5.89E+06,0.81
2.90E+06,0.705
9.09E+05,0.622
