A,A
sat,
PpCO2,Mol_Frac
1.49E+07,0.998
9.93E+06,0.953
5.94E+06,0.875
2.95E+06,0.797
9.58E+05,0.68
2.35E+05,0.576
5.60E+04,0.517
1.60E+04,0.46
2.67E+03,0.348
2.78E+02,0.187
9.92E+01,0.118
4.65E+01,0.0781
4.84E+00,0.0236
2.96E+00,0.0174
1.99E+07,1.033
1.49E+07,1.006
9.93E+06,0.962
5.94E+06,0.901
2.95E+06,0.808
9.58E+05,0.698
5.58E+05,0.64
2.35E+05,0.581
