A,A
sat,
PpCO2,Mol_Frac
9.96E+05,0.923
5.96E+05,0.844
2.97E+05,0.809
9.72E+04,0.694
5.51E+04,0.648
1.18E+04,0.583
2.80E+03,0.54
3.92E+02,0.494
6.00E+01,0.439
9.27E+00,0.323
2.13E+00,0.211
1.99E+07,1.247
1.50E+07,1.209
9.97E+06,1.17
6.43E+06,1.104
6.40E+06,1.1
3.00E+06,1.037
9.96E+05,0.938
5.96E+05,0.855
2.97E+05,0.815
9.72E+04,0.699
5.51E+04,0.678
1.18E+04,0.588
2.80E+03,0.532
