A,A
sat,
PpCO2,Mol_Frac
2.99E+06,0.965
9.93E+05,0.844
5.93E+05,0.794
2.93E+05,0.709
1.03E+05,0.646
3.61E+04,0.609
8.09E+03,0.557
2.57E+03,0.513
6.04E+02,0.461
6.77E+01,0.365
8.96E+00,0.203
1.47E+00,0.0888
1.99E+07,1.151
1.49E+07,1.108
9.97E+06,1.073
5.99E+06,1.023
2.99E+06,0.929
9.93E+05,0.808
5.93E+05,0.778
2.93E+05,0.711
1.03E+05,0.638
6.04E+02,0.486
