A,A,
sat,,
x,MEACOO,HCO3
0.09,1.06E-02,0
0.19,2.06E-02,1.00E-04
0.29,3.07E-02,2.00E-04
0.25,2.74E-02,2.00E-04
0.37,4.27E-02,6.00E-04
0.59,5.19E-02,1.39E-02
0.78,3.85E-02,4.42E-02
0.93,2.76E-02,6.71E-02
