X,X
NIST,Model
T,Uncert
538.792,1.2
540,1.2
550,1.3
560,1.6
570,2.1
580,2.7
590,3.4
600,4.2
610,5
620,6
630,7.1
640,8.3
650,9.9
660,12
670,17
671.4,21
