X,X,
NIST,Model,
T,RhoLiq,
450,889.4,
460,880.5,
470,871.3,
480,862,
490,852,
500,842,
510,832,
520,822,
530,811,
540,799,
550,787,
560,774,
570,761,
580,746,
590,731,
600,714,
610,695,
620,674,
630,650,
640,621,
650,585,
660,534,
670,420,
671.4,320,
